Archetype,Year,Peril Type,Total Affected
"""Very high risk middle income country, exposed to storms, floods, and earthquakes""",2002,Earthquake,29380.4
"""Very high risk middle income country, exposed to storms, floods, and earthquakes""",2002,Flood,62226.8
"""Very high risk middle income country, exposed to storms, floods, and earthquakes""",2002,Storm,392877.6
"""Very high risk middle income country, exposed to storms, floods, and earthquakes""",2003,Flood,1400
"""Very high risk middle income country, exposed to storms, floods, and earthquakes""",2003,Storm,186504.4
"""Very high risk middle income country, exposed to storms, floods, and earthquakes""",2004,Flood,8677.6
"""Very high risk middle income country, exposed to storms, floods, and earthquakes""",2004,Storm,1296511.2
"""Very high risk middle income country, exposed to storms, floods, and earthquakes""",2005,Flood,77218.4
"""Very high risk middle income country, exposed to storms, floods, and earthquakes""",2005,Storm,8004.4
"""Very high risk middle income country, exposed to storms, floods, and earthquakes""",2006,Flood,293003.6
"""Very high risk middle income country, exposed to storms, floods, and earthquakes""",2006,Storm,3128723.2
"""Very high risk middle income country, exposed to storms, floods, and earthquakes""",2007,Flood,34698.8
"""Very high risk middle income country, exposed to storms, floods, and earthquakes""",2007,Storm,768923.6
"""Very high risk middle income country, exposed to storms, floods, and earthquakes""",2008,Flood,641155.6
"""Very high risk middle income country, exposed to storms, floods, and earthquakes""",2008,Storm,2740791.6
"""Very high risk middle income country, exposed to storms, floods, and earthquakes""",2009,Earthquake,156.8
"""Very high risk middle income country, exposed to storms, floods, and earthquakes""",2009,Flood,433310.4
"""Very high risk middle income country, exposed to storms, floods, and earthquakes""",2009,Storm,4888665.2
"""Very high risk middle income country, exposed to storms, floods, and earthquakes""",2010,Flood,1138774
"""Very high risk middle income country, exposed to storms, floods, and earthquakes""",2010,Storm,1038218
"""Very high risk middle income country, exposed to storms, floods, and earthquakes""",2011,Earthquake,11.2
"""Very high risk middle income country, exposed to storms, floods, and earthquakes""",2011,Flood,887531.2
"""Very high risk middle income country, exposed to storms, floods, and earthquakes""",2011,Storm,3787470.4
"""Very high risk middle income country, exposed to storms, floods, and earthquakes""",2012,Earthquake,141262.8
"""Very high risk middle income country, exposed to storms, floods, and earthquakes""",2012,Flood,1845851.2
"""Very high risk middle income country, exposed to storms, floods, and earthquakes""",2012,Storm,3024192
"""Very high risk middle income country, exposed to storms, floods, and earthquakes""",2013,Earthquake,1288889.6
"""Very high risk middle income country, exposed to storms, floods, and earthquakes""",2013,Flood,1800135.2
"""Very high risk middle income country, exposed to storms, floods, and earthquakes""",2013,Storm,7177828.4
"""Very high risk middle income country, exposed to storms, floods, and earthquakes""",2014,Flood,58052
"""Very high risk middle income country, exposed to storms, floods, and earthquakes""",2014,Storm,5227593.2
"""Very high risk middle income country, exposed to storms, floods, and earthquakes""",2015,Flood,92523.6
"""Very high risk middle income country, exposed to storms, floods, and earthquakes""",2015,Storm,1442482
"""Very high risk middle income country, exposed to storms, floods, and earthquakes""",2016,Earthquake,80.8
"""Very high risk middle income country, exposed to storms, floods, and earthquakes""",2016,Flood,1025239.2
"""Very high risk middle income country, exposed to storms, floods, and earthquakes""",2016,Storm,1188604.8
"""Very high risk middle income country, exposed to storms, floods, and earthquakes""",2017,Earthquake,23974.8
"""Very high risk middle income country, exposed to storms, floods, and earthquakes""",2017,Flood,733600
"""Very high risk middle income country, exposed to storms, floods, and earthquakes""",2017,Storm,344
