Archetype,Year,Peril Type,Total Affected
"""Low income country, exposed to droughts, floods and storms""",2002,Drought,1500000
"""Low income country, exposed to droughts, floods and storms""",2002,Flood,1250
"""Low income country, exposed to droughts, floods and storms""",2002,Storm,10042.5
"""Low income country, exposed to droughts, floods and storms""",2003,Drought,298750
"""Low income country, exposed to droughts, floods and storms""",2003,Flood,1287507.5
"""Low income country, exposed to droughts, floods and storms""",2003,Storm,57525
"""Low income country, exposed to droughts, floods and storms""",2005,Drought,3500000
"""Low income country, exposed to droughts, floods and storms""",2005,Flood,119592.5
"""Low income country, exposed to droughts, floods and storms""",2007,Drought,1300000
"""Low income country, exposed to droughts, floods and storms""",2007,Flood,1005087.5
"""Low income country, exposed to droughts, floods and storms""",2007,Storm,406925
"""Low income country, exposed to droughts, floods and storms""",2008,Drought,1250000
"""Low income country, exposed to droughts, floods and storms""",2008,Flood,8750
"""Low income country, exposed to droughts, floods and storms""",2008,Storm,550032.5
"""Low income country, exposed to droughts, floods and storms""",2009,Flood,17312.5
"""Low income country, exposed to droughts, floods and storms""",2009,Storm,17757.5
"""Low income country, exposed to droughts, floods and storms""",2010,Drought,1150000
"""Low income country, exposed to droughts, floods and storms""",2010,Flood,42500
"""Low income country, exposed to droughts, floods and storms""",2011,Flood,159865
"""Low income country, exposed to droughts, floods and storms""",2011,Storm,0
"""Low income country, exposed to droughts, floods and storms""",2012,Storm,274895
"""Low income country, exposed to droughts, floods and storms""",2013,Flood,789965
"""Low income country, exposed to droughts, floods and storms""",2014,Flood,750
"""Low income country, exposed to droughts, floods and storms""",2015,Flood,444112.5
"""Low income country, exposed to droughts, floods and storms""",2016,Drought,5750000
"""Low income country, exposed to droughts, floods and storms""",2016,Flood,429000
"""Low income country, exposed to droughts, floods and storms""",2016,Storm,4250
"""Low income country, exposed to droughts, floods and storms""",2017,Storm,1875255
