Country,Year,Type of event,Total affected,Total Damage
Costa Rica,2002,Earthquake,10,0
Costa Rica,2002,Flood,12052,0
Costa Rica,2002,Storm,147,0
Costa Rica,2003,Earthquake,233,0
Costa Rica,2003,Flood,2140,0
Costa Rica,2003,Storm,31,0
Costa Rica,2004,Earthquake,0,0
Costa Rica,2004,Flood,1527,0
Costa Rica,2005,Flood,12025,0
Costa Rica,2005,Storm,5,0
Costa Rica,2006,Flood,2199,0
Costa Rica,2007,Flood,19706,0
Costa Rica,2007,Storm,9121,0
Costa Rica,2008,Earthquake,173,0
Costa Rica,2008,Flood,14578,0
Costa Rica,2008,Storm,244,0
Costa Rica,2009,Earthquake,7979,0
Costa Rica,2009,Flood,3528,0
Costa Rica,2009,Storm,3102,0
Costa Rica,2010,Flood,29178,0
Costa Rica,2010,Storm,739,0
Costa Rica,2011,Earthquake,19,0
Costa Rica,2011,Flood,8808,0
Costa Rica,2011,Storm,415,0
Costa Rica,2012,Earthquake,12568,0
Costa Rica,2012,Flood,5572,0
Costa Rica,2012,Storm,20634,0
Costa Rica,2013,Flood,7249,0
Costa Rica,2013,Storm,878,0
Djibouti,2004,Drought,1234,0
Djibouti,2005,Storm,45,0
Djibouti,2006,Flood,57,0
Djibouti,2007,Storm,10,0
Djibouti,2008,Drought,656,0
Djibouti,2008,Earthquake,12,0
Djibouti,2008,Flood,6,0
Djibouti,2008,Storm,11,0
Djibouti,2009,Flood,10,0
Djibouti,2009,Storm,10,0
Djibouti,2010,Drought,3,0
Djibouti,2010,Storm,4,0
Djibouti,2011,Drought,2,0
Djibouti,2011,Storm,25,0
El Salvador,2003,Drought,6000,0
El Salvador,2003,Flood,3831,0
El Salvador,2003,Storm,61,0
El Salvador,2004,Drought,1000,0
El Salvador,2004,Flood,2905,0
El Salvador,2004,Storm,248,0
El Salvador,2005,Earthquake,2316,0
El Salvador,2005,Flood,153855,0
El Salvador,2005,Storm,721,0
El Salvador,2006,Earthquake,10166,0
El Salvador,2006,Flood,11825,0
El Salvador,2006,Storm,15570,0
El Salvador,2007,Drought,0,0
El Salvador,2007,Flood,16195,0
El Salvador,2007,Storm,1707,0
El Salvador,2008,Flood,10412,525
El Salvador,2008,Storm,45077,0
El Salvador,2009,Earthquake,310,0
El Salvador,2009,Flood,5357,0
El Salvador,2009,Storm,1272,0
El Salvador,2010,Earthquake,200,0
El Salvador,2010,Flood,44476,465940
El Salvador,2010,Storm,1555,200
El Salvador,2011,Earthquake,440,0
El Salvador,2011,Flood,59578,9040141
El Salvador,2011,Storm,12675,200
El Salvador,2012,Flood,1635,0
El Salvador,2012,Storm,1728,0
El Salvador,2013,Flood,15,4000
El Salvador,2013,Storm,7,0
Ethiopia,2002,Drought,8735065,0
Ethiopia,2002,Flood,17825,0
Ethiopia,2002,Storm,2699,0
Ethiopia,2003,Drought,13463121,0
Ethiopia,2003,Flood,512163,0
Ethiopia,2003,Storm,3500,0
Ethiopia,2004,Drought,2588628,0
Ethiopia,2004,Flood,43747,0
Ethiopia,2005,Drought,3613017,0
Ethiopia,2005,Flood,1038348,0
Ethiopia,2006,Drought,7636343,0
Ethiopia,2006,Earthquake,11000,0
Ethiopia,2006,Flood,1755057,0
Ethiopia,2006,Storm,75,0
Ethiopia,2007,Drought,1510949,0
Ethiopia,2007,Flood,1074715,0
Ethiopia,2007,Storm,3770,0
Ethiopia,2008,Drought,1194781,0
Ethiopia,2008,Flood,39178,0
Ethiopia,2008,Storm,14978,0
Ethiopia,2009,Drought,192487,0
Ethiopia,2009,Flood,7692,0
Ethiopia,2009,Storm,50650,0
Ethiopia,2010,Drought,10383544,0
Ethiopia,2010,Flood,1959393,0
Ethiopia,2011,Drought,4473519,0
Ethiopia,2011,Flood,3009,0
Ethiopia,2012,Drought,10020270,0
Ethiopia,2012,Flood,89145,0
Ethiopia,2013,Drought,5200153,0
Ethiopia,2013,Flood,240992,0
Ethiopia,2013,Storm,720,0
Guatemala,2002,Flood,10703,0
Guatemala,2002,Storm,1402,0
Guatemala,2003,Flood,5281,39475
Guatemala,2003,Storm,1759,15000
Guatemala,2004,Drought,51502,0
Guatemala,2004,Flood,22832,18000
Guatemala,2004,Storm,8123,306000
Guatemala,2005,Flood,358173,102567
Guatemala,2005,Storm,385194,420000
Guatemala,2006,Flood,31973,0
Guatemala,2006,Storm,1476,0
Guatemala,2007,Flood,107890,0
Guatemala,2007,Storm,829,0
Guatemala,2008,Flood,355488,4116750
Guatemala,2008,Storm,4959,815000
Guatemala,2009,Drought,41101,0
Guatemala,2009,Earthquake,2577,0
Guatemala,2009,Flood,56624,197000
Guatemala,2009,Storm,18712,245000
Guatemala,2010,Flood,284118,0
Guatemala,2010,Storm,519948,278000
Guatemala,2011,Earthquake,8184,0
Guatemala,2011,Flood,156967,200000
Guatemala,2011,Storm,51726,58000
Guatemala,2012,Drought,1,1283000
Guatemala,2012,Earthquake,2471184,0
Guatemala,2012,Flood,29334,0
Guatemala,2012,Storm,5607,650000
Guatemala,2013,Drought,9297,1250000
Guatemala,2013,Earthquake,1529,0
Guatemala,2013,Flood,294238,500000
Guatemala,2013,Storm,6563,345058
Honduras,2002,Flood,119625,30774627
Honduras,2002,Storm,4942,60285691
Honduras,2003,Drought,185000,0
Honduras,2003,Flood,1447,920
Honduras,2003,Storm,153,20000
Honduras,2004,Drought,43500,0
Honduras,2004,Flood,0,0
Honduras,2005,Drought,0,19445947
Honduras,2005,Flood,42468,126869223.2
Honduras,2005,Storm,4,3148420.15
Honduras,2006,Flood,1903,90016
Honduras,2006,Storm,824,0
Honduras,2007,Drought,2500,0
Honduras,2007,Flood,72980,13.158
Honduras,2007,Storm,11412,0
Honduras,2008,Flood,1028956,7000000
Honduras,2008,Storm,3026,0
Honduras,2009,Earthquake,1,200
Honduras,2009,Flood,130,0
Honduras,2010,Drought,496535,0
Honduras,2010,Earthquake,880,0
Honduras,2010,Flood,192056,500000
Honduras,2010,Storm,100356,0
Honduras,2011,Drought,0,0
Honduras,2011,Flood,34280,0
Honduras,2011,Storm,39534,0
Honduras,2012,Flood,86809,0
Honduras,2012,Storm,5206,0
Honduras,2013,Earthquake,10,0
Honduras,2013,Flood,407,0
Indonesia,2002,Flood,68484,0
Indonesia,2002,Storm,0,0
Indonesia,2003,Drought,0,0
Indonesia,2003,Earthquake,2300,0
Indonesia,2003,Flood,289697,0
Indonesia,2003,Storm,1807,0
Indonesia,2004,Earthquake,4499971,0
Indonesia,2004,Flood,796949,0
Indonesia,2004,Storm,102625,0
Indonesia,2005,Earthquake,0,0
Indonesia,2005,Flood,59076,0
Indonesia,2005,Storm,4997,0
Indonesia,2006,Earthquake,1625,0
Indonesia,2006,Flood,602292,0
Indonesia,2006,Storm,8358,0
Indonesia,2007,Earthquake,52,0
Indonesia,2007,Flood,398671,0
Indonesia,2007,Storm,33364,0
Indonesia,2008,Flood,4894620,0
Indonesia,2008,Storm,10023,0
Indonesia,2009,Earthquake,13202,0
Indonesia,2009,Flood,5120488,0
Indonesia,2009,Storm,10224,0
Indonesia,2010,Drought,172,0
Indonesia,2010,Earthquake,471,0
Indonesia,2010,Flood,9450,0
Indonesia,2010,Storm,2846,0
Indonesia,2011,Drought,0,0
Indonesia,2011,Earthquake,0,0
Indonesia,2011,Flood,4654,0
Indonesia,2011,Storm,2136,0
Indonesia,2012,Drought,233167,0
Indonesia,2012,Earthquake,444,0
Indonesia,2012,Flood,542450,0
Indonesia,2012,Storm,41144,0
Indonesia,2013,Drought,2223225,0
Indonesia,2013,Earthquake,3106,0
Indonesia,2013,Flood,1055235,0
Indonesia,2013,Storm,45978,0
Iran (Islamic Republic Of),2002,Drought,0,0
Iran (Islamic Republic Of),2002,Earthquake,40841,0
Iran (Islamic Republic Of),2002,Flood,0,0
Iran (Islamic Republic Of),2003,Drought,0,0
Iran (Islamic Republic Of),2003,Earthquake,297049,521666000
Iran (Islamic Republic Of),2003,Flood,1370,838000
Iran (Islamic Republic Of),2003,Storm,0,0
Iran (Islamic Republic Of),2004,Drought,110000,0
Iran (Islamic Republic Of),2004,Earthquake,0,0
Iran (Islamic Republic Of),2004,Flood,4043,0
Iran (Islamic Republic Of),2004,Storm,2500,240000
Iran (Islamic Republic Of),2005,Earthquake,22022,0
Iran (Islamic Republic Of),2005,Flood,13000,0
Iran (Islamic Republic Of),2006,Drought,0,0
Iran (Islamic Republic Of),2006,Earthquake,168494,42262000
Iran (Islamic Republic Of),2006,Flood,2800,16000000
Iran (Islamic Republic Of),2006,Storm,0,0
Iran (Islamic Republic Of),2007,Earthquake,1000,0
Iran (Islamic Republic Of),2007,Flood,10,0
Iran (Islamic Republic Of),2007,Storm,160009,0
Iran (Islamic Republic Of),2008,Earthquake,35,0
Iran (Islamic Republic Of),2008,Flood,0,0
Iran (Islamic Republic Of),2008,Storm,0,0
Iran (Islamic Republic Of),2009,Drought,0,0
