Country,Year,Type of event,Total affected,Total Damage
Afghanistan,2002,Earthquake,100891,0
Afghanistan,2002,Flood,5545,0
Afghanistan,2003,Earthquake,1001,0
Afghanistan,2003,Flood,3753,0
Afghanistan,2004,Earthquake,1040,0
Afghanistan,2004,Flood,4500,0
Afghanistan,2005,Earthquake,501,50000
Afghanistan,2005,Flood,18318,0
Afghanistan,2005,Storm,22656,5000000
Afghanistan,2006,Drought,1900000,0
Afghanistan,2006,Earthquake,935,0
Afghanistan,2006,Flood,32975,0
Afghanistan,2006,Storm,0,0
Afghanistan,2007,Flood,30255,0
Afghanistan,2008,Drought,280000,0
Afghanistan,2008,Flood,1180,0
Afghanistan,2009,Earthquake,3309,0
Afghanistan,2009,Flood,62516,20000000
Afghanistan,2010,Earthquake,1070,0
Afghanistan,2010,Flood,45000,0
Afghanistan,2011,Drought,1750000,142000000
Afghanistan,2011,Flood,12810,0
Afghanistan,2011,Storm,5,0
Afghanistan,2012,Earthquake,237,0
Afghanistan,2012,Flood,51150,0
Afghanistan,2013,Earthquake,3531,0
Afghanistan,2013,Flood,17097,0
Afghanistan,2014,Flood,150135,3000000
Afghanistan,2014,Storm,0,0
Afghanistan,2015,Earthquake,93132,0
Afghanistan,2015,Flood,3010,0
Afghanistan,2016,Flood,0,0
Afghanistan,2017,Flood,22,0
Afghanistan,2017,Storm,9055,0
Algeria,2002,Flood,2305,1500000
Algeria,2003,Earthquake,210461,5000000000
Algeria,2003,Flood,50,0
Algeria,2003,Storm,0,0
Algeria,2004,Earthquake,315,0
Algeria,2004,Flood,27565,0
Algeria,2005,Flood,1820,7256000
Algeria,2005,Storm,5,0
Algeria,2006,Earthquake,319,0
Algeria,2006,Flood,60000,1200000
Algeria,2007,Flood,1305,43061000
Algeria,2008,Flood,59050,348000000
Algeria,2009,Flood,2548,0
Algeria,2011,Flood,793,779000000
Algeria,2012,Flood,101,0
Algeria,2014,Earthquake,420,0
Algeria,2015,Flood,35000,0
Angola,2002,Flood,0,0
Angola,2003,Flood,825,0
Angola,2004,Drought,25000,0
Angola,2004,Flood,333700,0
Angola,2005,Flood,10000,0
Angola,2006,Flood,225,0
Angola,2007,Flood,46000,0
Angola,2008,Flood,81400,0
Angola,2009,Flood,225065,0
Angola,2010,Flood,189781,0
Angola,2011,Flood,90684,0
Angola,2012,Drought,1833900,0
Angola,2013,Flood,1000,0
Angola,2015,Flood,5000,0
Angola,2016,Flood,9899,0
Angola,2017,Flood,30250,2000000
Azerbaijan,2003,Flood,31500,55000000
Azerbaijan,2009,Flood,5000,0
Azerbaijan,2010,Flood,70000,0
Azerbaijan,2012,Earthquake,22499,0
Bangladesh,2002,Flood,1500000,0
Bangladesh,2002,Storm,101400,0
Bangladesh,2003,Earthquake,2525,0
Bangladesh,2003,Flood,550000,0
Bangladesh,2003,Storm,420,0
Bangladesh,2004,Earthquake,0,500000000
Bangladesh,2004,Flood,36871700,2200000000
Bangladesh,2004,Storm,18200,0
Bangladesh,2005,Flood,1150000,0
Bangladesh,2005,Storm,35606,0
Bangladesh,2006,Flood,211775,0
Bangladesh,2006,Storm,18149,0
Bangladesh,2007,Flood,13851440,114000000
Bangladesh,2007,Storm,8978766,2300000000
Bangladesh,2008,Flood,635640,0
Bangladesh,2008,Storm,400,0
Bangladesh,2009,Drought,0,0
Bangladesh,2009,Flood,500000,0
Bangladesh,2009,Storm,3954550,270000000
Bangladesh,2010,Flood,575000,0
Bangladesh,2010,Storm,257160,0
Bangladesh,2011,Flood,1570559,0
Bangladesh,2011,Storm,121,0
Bangladesh,2012,Flood,5398475,0
Bangladesh,2012,Storm,184679,0
Bangladesh,2013,Storm,1532207,20000000
Bangladesh,2014,Flood,3200447,160000000
Bangladesh,2014,Storm,5262,0
Bangladesh,2015,Earthquake,200,0
Bangladesh,2015,Flood,1411901,40000000
Bangladesh,2015,Storm,2660250,44000000
Bangladesh,2016,Earthquake,70,0
Bangladesh,2016,Flood,1900000,150000000
Bangladesh,2016,Storm,1203555,600000000
Bangladesh,2017,Flood,7502875,352000000
Bangladesh,2017,Storm,3300000,0
Bosnia and Herzegovina,2003,Drought,62575,140000000
Bosnia and Herzegovina,2004,Flood,278000,0
Bosnia and Herzegovina,2005,Flood,3100,0
Bosnia and Herzegovina,2005,Storm,0,0
Bosnia and Herzegovina,2009,Flood,3730,0
Bosnia and Herzegovina,2010,Flood,34910,87000000
Bosnia and Herzegovina,2014,Flood,1000600,436580000
Bosnia and Herzegovina,2015,Flood,0,0
Bulgaria,2002,Flood,0,1000000
Bulgaria,2005,Flood,12200,457000000
Bulgaria,2005,Storm,0,0
Bulgaria,2006,Earthquake,527,0
Bulgaria,2006,Flood,0,0
Bulgaria,2007,Flood,1070,0
Bulgaria,2010,Flood,90,0
Bulgaria,2012,Earthquake,210,0
Bulgaria,2012,Flood,37950,4400000
Bulgaria,2014,Flood,8507,387000000
Bulgaria,2014,Storm,40,545000000
Bulgaria,2015,Flood,0,5800000
Costa Rica,2002,Flood,95040,1000000
Costa Rica,2003,Earthquake,135,0
Costa Rica,2003,Flood,2500,0
Costa Rica,2004,Earthquake,280,0
Costa Rica,2004,Flood,3056,0
Costa Rica,2005,Flood,2998,25000000
Costa Rica,2005,Storm,1074,20000000
Costa Rica,2007,Flood,24500,80000000
Costa Rica,2008,Flood,154498,0
Costa Rica,2008,Storm,55000,0
Costa Rica,2009,Earthquake,128618,200000000
Costa Rica,2010,Flood,3106,0
Costa Rica,2011,Flood,46695,0
Costa Rica,2012,Earthquake,762,45000000
Costa Rica,2012,Flood,9523,0
Costa Rica,2015,Drought,0,0
Costa Rica,2015,Flood,9666,0
Costa Rica,2016,Storm,50000,0
Djibouti,2004,Flood,100000,0
Djibouti,2005,Drought,150000,0
Djibouti,2007,Drought,42750,0
Djibouti,2008,Drought,340000,0
Djibouti,2010,Drought,200258,0
El Salvador,2002,Flood,100,0
El Salvador,2002,Storm,500,0
El Salvador,2005,Earthquake,751,0
El Salvador,2005,Flood,2332,0
El Salvador,2005,Storm,72141,355700000
