Country,Year,Type of event,Total Damage
Afghanistan,2002,Earthquake,6538067
Afghanistan,2010,Flood,3766416
Afghanistan,2005,Flood,1695049
Afghanistan,2006,Flood,812341
Afghanistan,2004,Flood,18500
Algeria,2003,Earthquake,10699952
Algeria,2006,Flood,2961700
Algeria,2002,Flood,278633
Bosnia And Herzegovina,2010,Flood,80397
Bosnia And Herzegovina,2004,Flood,45000
Costa Rica,2010,Flood,448993
Costa Rica,2009,Earthquake,413061
Costa Rica,2005,Flood,380528
Costa Rica,2008,Flood,261018
Costa Rica,2002,Flood,50000
Dominican Republic,2003,Flood,1574447
Dominican Republic,2011,Flood,288204
Dominican Republic,2004,Storm,78880
Ethiopia,2006,Flood,12691968
Ethiopia,2010,Flood,254130
Guatemala,2005,Flood,39762590
Guatemala,2008,Flood,1656867
Haiti,2010,Earthquake,3518529838
Haiti,2008,Storm,128898035
Haiti,2002,Flood,570246
Haiti,2006,Flood,65000
Honduras,2002,Flood,1822501
Honduras,2005,Storm,677891
India,2002,Flood,93065240
India,2011,Flood,5222436
India,2006,Flood,4504069
India,2004,Flood,3390042
India,2012,Flood,2700304
India,2008,Flood,1948130
India,2011,Storm,1350160
India,2009,Flood,727638
India,2005,Flood,212192
India,2002,Drought,146063
India,2003,Flood,78544
India,2011,Earthquake,32597
Indonesia,2006,Earthquake,90261682
Indonesia,2009,Earthquake,77768006
Indonesia,2002,Flood,15848999
Indonesia,2010,Earthquake,7043059
Indonesia,2007,Flood,6102037
Indonesia,2006,Flood,5128289
Indonesia,2006,Earthquake,3817060
Indonesia,2005,Earthquake,3628543
Indonesia,2007,Earthquake,2563551
Indonesia,2004,Earthquake,2372768
Indonesia,2003,Flood,578095
Indonesia,2006,Flood,322291
Indonesia,2002,Earthquake,148244
Jamaica,2004,Storm,4345394
Jamaica,2002,Flood,110117
Jamaica,2010,Storm,68027
Kenya,2006,Flood,50600864
Kenya,2002,Flood,5620693
Kenya,2008,Flood,202102
Kyrgyzstan,2008,Earthquake,3651294
Kyrgyzstan,2006,Earthquake,559405
Kyrgyzstan,2005,Flood,25000
Madagascar,2008,Storm,28486511
Madagascar,2007,Storm,11402044
Madagascar,2007,Flood,11402044
Madagascar,2012,Storm,4262312
Madagascar,2011,Storm,2090727
Madagascar,2010,Storm,2040846
Madagascar,2003,Storm,1294425
Madagascar,2009,Storm,945255
Madagascar,2003,Flood,646457
Madagascar,2004,Storm,478335
Madagascar,2002,Storm,205123
Mexico,2007,Flood,12610282
Mexico,2005,Storm,1504543
Mexico,2002,Storm,450393
Mexico,2010,Storm,273530
Mexico,2003,Earthquake,228887
Mexico,2011,Storm,70721
Morocco,2004,Earthquake,13302671
Morocco,2002,Flood,1241409
Mozambique,2007,Flood,47505400
Mozambique,2013,Flood,17955387
Mozambique,2008,Storm,8166054
Mozambique,2012,Storm,4166169
Mozambique,2003,Flood,106908
Myanmar,2008,Storm,607329482
Myanmar,2010,Storm,21655231
Myanmar,2010,Flood,13261143
Myanmar,2011,Flood,1185170
Myanmar,2011,Earthquake,1008180
Myanmar,2004,Storm,263637
Myanmar,2015,Flood,50000
Namibia,2009,Flood,4153568
Namibia,2003,Flood,202766
Namibia,2006,Flood,96772
Namibia,2004,Flood,26000
Nepal,2015,Earthquake,533808256
Nepal,2008,Flood,12358856
Nepal,2002,Flood,2335894
Nepal,2004,Flood,847430
Nepal,2006,Flood,422234
Nepal,2003,Flood,85000
Nicaragua,2002,Flood,1584031
Nicaragua,2004,Flood,548352
Nicaragua,2008,Flood,50000
Pakistan,2010,Flood,2653281105
Pakistan,2011,Flood,263539667
Pakistan,2008,Earthquake,15792040
Pakistan,2007,Flood,8761923.75
Pakistan,2007,Storm,8761923.75
Pakistan,2003,Flood,1389766
Pakistan,2005,Flood,1156348
Pakistan,2002,Earthquake,304314
Pakistan,2006,Flood,124277
Pakistan,2004,Earthquake,90000
Peru,2007,Earthquake,52190765
Peru,2008,Earthquake,1527099
Peru,2003,Flood,325103
Peru,2002,Flood,286436
Peru,2004,Flood,12500
Peru,2004,Drought,12500
Romania,2005,Flood,4368482
Romania,2010,Flood,122084
Sri Lanka,2011,Flood,36056520
Sri Lanka,2003,Flood,5730015
Sri Lanka,2012,Storm,1048604
Sri Lanka,2008,Flood,655355
Sri Lanka,2002,Drought,477931
Sri Lanka,2010,Flood,456816
Sri Lanka,2006,Flood,288523
Sri Lanka,2007,Flood,128440
Sri Lanka,2008,Flood,77760
Tajikistan,2002,Flood,3697763
Tajikistan,2009,Flood,1195531
Tajikistan,2004,Flood,863146
Tajikistan,2005,Flood,740580
Tajikistan,2010,Flood,513970
Tajikistan,2006,Earthquake,327462
Tajikistan,2007,Earthquake,91032.5
Tajikistan,2002,Earthquake,29623
Viet Nam,2011,Flood,7761506
Viet Nam,2010,Flood,5603294
Viet Nam,2007,Flood,4438680
Viet Nam,2009,Storm,3520952
Viet Nam,2002,Flood,1622174
Viet Nam,2005,Storm,887290
Viet Nam,2006,Storm,467257
Viet Nam,2008,Flood,429760
Viet Nam,2003,Flood,370316
