,flood,flood,flood,flood,Graph,Funding Gap
0.5,14646.0399509314,,,,14646.0399509314,-14646.0399509314
0.498,,,,,14747.6851399734,-14747.6851399734
0.496,,,,,14877.2383934186,-14877.2383934186
0.494,,,,,15037.9189351312,-15037.9189351312
0.492,,,,,15192.5254917337,-15192.5254917337
0.49,,,,,15345.9538042807,-15345.9538042807
0.488,,,,,15495.6473993416,-15495.6473993416
0.486,,,,,15679.4119741603,-15679.4119741603
0.484,,,,,15866.6467734281,-15866.6467734281
0.482,,,,,16079.4345509431,-16079.4345509431
0.48,,,,,16256.4318057956,-16256.4318057956
0.478,,,,,16429.2503709034,-16429.2503709034
0.476,,,,,16632.778174282,-16632.778174282
0.474,,,,,16824.1702274048,-16824.1702274048
0.472,,,,,17009.0899176057,-17009.0899176057
0.47,,,,,17170.75190506,-17170.75190506
0.468,,,,,17388.1326063401,-17388.1326063401
0.466,,,,,17575.1686571315,-17575.1686571315
0.464,,,,,17708.1128010231,-17708.1128010231
0.462,,,,,17862.630103848,-17862.630103848
0.46,,,,,18053.2670169208,-18053.2670169208
0.458,,,,,18276.3248686824,-18276.3248686824
0.456,,,,,18486.6134148438,-18486.6134148438
0.454,,,,,18727.1279183496,-18727.1279183496
0.452,,,,,18972.1668955467,-18972.1668955467
0.45,,,,,19208.1783783806,-19208.1783783806
0.448,,,,,19366.1596625014,-19366.1596625014
0.446,,,,,19550.756100024,-19550.756100024
0.444,,,,,19731.8914151887,-19731.8914151887
0.442,,,,,19922.1150995438,-19922.1150995438
0.44,,,,,20110.3241710313,-20110.3241710313
0.438,,,,,20308.463278272,-20308.463278272
0.436,,,,,20550.6236592997,-20550.6236592997
0.434,,,,,20754.9033752657,-20754.9033752657
0.432,,,,,20950.262286697,-20950.262286697
0.43,,,,,21131.9630365321,-21131.9630365321
0.428,,,,,21364.5818416488,-21364.5818416488
0.426,,,,,21527.4607371536,-21527.4607371536
0.424,,,,,21725.1723903346,-21725.1723903346
0.422,,,,,21945.2442321228,-21945.2442321228
0.42,,,,,22131.4595429098,-22131.4595429098
0.418,,,,,22358.7819507833,-22358.7819507833
0.416,,,,,22600.6103653115,-22600.6103653115
0.414,,,,,22795.3929602068,-22795.3929602068
0.412,,,,,22989.4415674593,-22989.4415674593
0.41,,,,,23199.5556633568,-23199.5556633568
0.408,,,,,23403.7003896155,-23403.7003896155
0.406,,,,,23668.4876008171,-23668.4876008171
0.404,,,,,23939.2955088442,-23939.2955088442
0.402,,,,,24152.2251877773,-24152.2251877773
0.4,,,,,24346.5656937641,-24346.5656937641
0.398,,,,,24588.4044453578,-24588.4044453578
0.396,,,,,24857.5255419092,-24857.5255419092
0.394,,,,,25127.7444417534,-25127.7444417534
0.392,,,,,25322.7450928184,-25322.7450928184
0.39,,,,,25633.0089999234,-25633.0089999234
0.388,,,,,25846.3944511217,-25846.3944511217
0.386,,,,,26025.7465813654,-26025.7465813654
0.384,,,,,26289.5133096609,-26289.5133096609
0.382,,,,,26521.2289991945,-26521.2289991945
0.38,,,,,26859.3707748847,-26859.3707748847
0.378,,,,,27118.0446699794,-27118.0446699794
0.376,,,,,27461.3370783055,-27461.3370783055
0.374,,,,,27756.5291684211,-27756.5291684211
0.372,,,,,28049.5070227002,-28049.5070227002
0.37,,,,,28357.0948396953,-28357.0948396953
0.368,,,,,28625.5261470793,-28625.5261470793
0.366,,,,,28855.4319337869,-28855.4319337869
0.364,,,,,29271.5194927954,-29271.5194927954
0.362,,,,,29634.9855625754,-29634.9855625754
0.36,,,,,29998.7798607537,-29998.7798607537
0.358,,,,,30214.480796397,-30214.480796397
0.356,,,,,30523.7330646872,-30523.7330646872
0.354,,,,,30860.6993810318,-30860.6993810318
0.352,,,,,31157.9578513127,-31157.9578513127
0.35,,,,,31520.8655675377,-31520.8655675377
0.348,,,,,32024.5689416492,-32024.5689416492
0.346,,,,,32277.7850687515,-32277.7850687515
0.344,,,,,32663.0102574662,-32663.0102574662
0.342,,,,,32956.9730638211,-32956.9730638211
0.34,,,,,33381.8290816099,-33381.8290816099
0.338,,,,,33758.7914272516,-33758.7914272516
0.336,,,,,34086.7133951223,-34086.7133951223
0.334,,,,,34458.7226899456,-34458.7226899456
0.332,,,,,34810.5274539566,-34810.5274539566
0.33,,,,,35257.1892258085,-35257.1892258085
0.328,,,,,35621.3945489659,-35621.3945489659
0.326,,,,,36051.9562338825,-36051.9562338825
0.324,,,,,36591.74087156,-36591.74087156
0.322,,,,,36937.2654597318,-36937.2654597318
0.32,,,,,37209.77845918,-37209.77845918
0.318,,,,,37548.4463618689,-37548.4463618689
0.316,,,,,37959.0758673573,-37959.0758673573
0.314,,,,,38373.7638697279,-38373.7638697279
0.312,,,,,38788.2139707573,-38788.2139707573
0.31,,,,,39234.0824737423,-39234.0824737423
