Country,Year,Peril Type,Total Affected
Malaysia,1970,flood,243000
Malaysia,1977,flood,50
Malaysia,1978,flood,3000
Malaysia,1983,flood,15000
Malaysia,1986,flood,25000
Malaysia,1987,flood,2576
Malaysia,1988,flood,60000
Malaysia,1991,flood,3750
Malaysia,1993,flood,25000
Malaysia,1995,flood,3023
Malaysia,1996,flood,10263
Malaysia,1997,flood,23799
Malaysia,1998,flood,7660
Malaysia,1999,flood,2000
Malaysia,2000,flood,9488
Malaysia,2001,flood,33200
Malaysia,2002,flood,155
Malaysia,2003,flood,18803
Malaysia,2004,flood,77101
Malaysia,2005,flood,30600
Malaysia,2006,flood,106518
Malaysia,2007,flood,166533
Malaysia,2008,flood,8000
Malaysia,2009,flood,10875
Malaysia,2011,flood,20006
Malaysia,2013,flood,75000
Malaysia,2014,flood,2430000
Malaysia,2015,flood,3010
Malaysia,2016,flood,31841
Malaysia,2017,flood,22407
Malaysia,2018,flood,16900
