Country,Year,Peril Type,Total Affected
Mozambique,2002,Drought,504018
Mozambique,2002,Flood,513636
Mozambique,2002,Storm,38677
Mozambique,2003,Drought,1038388
Mozambique,2003,Flood,525777
Mozambique,2003,Storm,148466
Mozambique,2004,Drought,661025
Mozambique,2004,Flood,162298
Mozambique,2004,Storm,393200
Mozambique,2005,Drought,1363703
Mozambique,2005,Flood,352815
Mozambique,2005,Storm,37572
Mozambique,2006,Drought,673065
Mozambique,2006,Earthquake,1440
Mozambique,2006,Flood,257195
Mozambique,2006,Storm,13642
Mozambique,2007,Drought,435060
Mozambique,2007,Flood,1363279
Mozambique,2007,Storm,264807
Mozambique,2008,Drought,315975
Mozambique,2008,Flood,522687
Mozambique,2008,Storm,2394411
Mozambique,2009,Drought,236949
Mozambique,2009,Flood,36794
Mozambique,2009,Storm,10609
Mozambique,2010,Drought,86581
Mozambique,2010,Flood,8770
Mozambique,2010,Storm,7580
Mozambique,2011,Flood,130176
Mozambique,2011,Storm,11556
Mozambique,2012,Drought,1950
Mozambique,2012,Flood,30777
Mozambique,2012,Storm,12848
