Country,Year,Population
Philippines (the),2002,81352060
Philippines (the),2003,83031954
Philippines (the),2004,84678493
Philippines (the),2005,86274237
Philippines (the),2006,87809419
Philippines (the),2007,89293490
Philippines (the),2008,90751864
Philippines (the),2009,92220879
Philippines (the),2010,93726624
Philippines (the),2011,95277940
Philippines (the),2012,96866642
Philippines (the),2013,98481032
Philippines (the),2014,100102249
Philippines (the),2015,101716359
Philippines (the),2016,103320222
Philippines (the),2017,104918000
