Country,Year,GDP
Afghanistan,2002,4128820723
Afghanistan,2003,4583644246
Afghanistan,2004,5285465686
Afghanistan,2005,6275073572
Afghanistan,2006,7057598407
Afghanistan,2007,9843842455
Afghanistan,2008,10190529882
Afghanistan,2009,12486943506
Afghanistan,2010,15936800636
Afghanistan,2011,17930239400
Afghanistan,2012,20536542737
Afghanistan,2013,20046334304
Afghanistan,2014,20050189882
Afghanistan,2015,19215562179
Afghanistan,2016,19469022208
Afghanistan,2017,
Algeria,2002,56760288974
Algeria,2003,67863829880
Algeria,2004,85324998814
Algeria,2005,1.03E+11
Algeria,2006,1.17E+11
Algeria,2007,1.35E+11
Algeria,2008,1.71E+11
Algeria,2009,1.37E+11
Algeria,2010,1.61E+11
Algeria,2011,2.00E+11
Algeria,2012,2.09E+11
Algeria,2013,2.10E+11
Algeria,2014,2.14E+11
Algeria,2015,1.66E+11
Algeria,2016,1.59E+11
Algeria,2017,
Angola,2002,12497346670
Angola,2003,14188949191
Angola,2004,19640848729
Angola,2005,28233712831
Angola,2006,41789478661
Angola,2007,60448921272
Angola,2008,84178032716
Angola,2009,75492384801
Angola,2010,82470913121
Angola,2011,1.04116E+11
Angola,2012,1.15398E+11
Angola,2013,1.24912E+11
Angola,2014,1.26777E+11
Angola,2015,1.02962E+11
Angola,2016,95335111741
Angola,2017,
Azerbaijan,2002,6.24E+09
Azerbaijan,2003,7.28E+09
Azerbaijan,2004,8.68E+09
Azerbaijan,2005,1.32E+10
Azerbaijan,2006,2.10E+10
Azerbaijan,2007,3.31E+10
Azerbaijan,2008,4.89E+10
Azerbaijan,2009,4.43E+10
Azerbaijan,2010,5.29E+10
Azerbaijan,2011,6.60E+10
Azerbaijan,2012,6.97E+10
Azerbaijan,2013,7.42E+10
Azerbaijan,2014,7.52E+10
Azerbaijan,2015,5.31E+10
Azerbaijan,2016,3.78E+10
Azerbaijan,2017,
Bangladesh,2002,54724081491
Bangladesh,2003,60158929188
Bangladesh,2004,65108544250
Bangladesh,2005,69442943089
Bangladesh,2006,71819083684
Bangladesh,2007,79611888213
Bangladesh,2008,91631278239
Bangladesh,2009,1.02478E+11
Bangladesh,2010,1.15279E+11
Bangladesh,2011,1.28638E+11
Bangladesh,2012,1.33356E+11
Bangladesh,2013,1.4999E+11
Bangladesh,2014,1.72885E+11
Bangladesh,2015,1.95079E+11
Bangladesh,2016,2.21415E+11
Bangladesh,2017,
Bosnia and Herzegovina,2002,6651226179
Bosnia and Herzegovina,2003,8370020196
Bosnia and Herzegovina,2004,10022840635
Bosnia and Herzegovina,2005,11225138297
Bosnia and Herzegovina,2006,12866524918
Bosnia and Herzegovina,2007,15776422673
Bosnia and Herzegovina,2008,19112739664
Bosnia and Herzegovina,2009,17613836210
