Country,Year,Inflation Index
Afghanistan,2004,63.13189273
Afghanistan,2005,71.14097429
Afghanistan,2006,76.30217768
Afghanistan,2007,82.77480692
Afghanistan,2008,108.0666
Afghanistan,2009,99.11535881
Afghanistan,2010,100
Afghanistan,2011,110.2016601
Afghanistan,2012,118.1563
Afghanistan,2013,127.2003573
Afghanistan,2014,133.0570866
Afghanistan,2015,131.016195
Afghanistan,2016,133.8585287
Afghanistan,2017,
Algeria,2002,74.45496587
Algeria,2003,77.63341408
Algeria,2004,80.70909491
Algeria,2005,81.82485502
Algeria,2006,83.718711
Algeria,2007,86.79439184
Algeria,2008,91.01519489
Algeria,2009,96.23430962
Algeria,2010,100
Algeria,2011,104.5217647
Algeria,2012,113.8185422
Algeria,2013,117.5218381
Algeria,2014,120.9492525
Algeria,2015,126.7366464
Algeria,2016,134.8448947
Algeria,2017,
Angola,2002,15.34756614
Angola,2003,30.42251619
Angola,2004,43.66907214
Angola,2005,53.69712626
Angola,2006,60.84059102
Angola,2007,68.2927576
Angola,2008,76.81140046
Angola,2009,87.35872038
Angola,2010,100
Angola,2011,113.4670154
Angola,2012,125.1467361
Angola,2013,136.1297275
Angola,2014,146.0393748
Angola,2015,161.0512393
Angola,2016,216.9942543
Angola,2017,
Azerbaijan,2002,51.1034246
Azerbaijan,2003,52.24500608
Azerbaijan,2004,55.75008719
Azerbaijan,2005,61.14642096
Azerbaijan,2006,66.26686089
Azerbaijan,2007,77.26408948
Azerbaijan,2008,93.32851379
Azerbaijan,2009,94.63609867
Azerbaijan,2010,100
Azerbaijan,2011,107.8504506
Azerbaijan,2012,108.9441726
Azerbaijan,2013,111.5386167
Azerbaijan,2014,113.0834588
Azerbaijan,2015,117.8012619
Azerbaijan,2016,122.7253471
Azerbaijan,2017,
Bangladesh,2002,56.82381156
Bangladesh,2003,60.04498736
Bangladesh,2004,64.60092262
Bangladesh,2005,69.15310297
Bangladesh,2006,73.83149099
Bangladesh,2007,80.55531378
Bangladesh,2008,87.72630342
Bangladesh,2009,92.48411524
Bangladesh,2010,100
Bangladesh,2011,110.7048046
Bangladesh,2012,117.5886312
Bangladesh,2013,126.4430232
Bangladesh,2014,135.282864
Bangladesh,2015,143.6626637
Bangladesh,2016,151.5835416
Bangladesh,2017,
Bolivia,2002,64.21700979
Bolivia,2003,66.360108
Bolivia,2004,69.30475869
Bolivia,2005,73.04252447
Bolivia,2006,76.17279784
Bolivia,2007,82.80458994
Bolivia,2008,94.39757003
Bolivia,2009,97.55929376
Bolivia,2010,100
Bolivia,2011,109.8126898
Bolivia,2012,114.8491113
Bolivia,2013,121.4134042
Bolivia,2014,128.4354258
Bolivia,2015,133.6511419
Bolivia,2016,138.4963157
Bolivia,2017,
Bosnia and Herzegovina,2005,84.89325495
Bosnia and Herzegovina,2006,90.09296682
Bosnia and Herzegovina,2007,91.45833333
Bosnia and Herzegovina,2008,98.24166667
