Country,Year,Population
Afghanistan,2002,21979923
Afghanistan,2003,23064851
Afghanistan,2004,24118979
Afghanistan,2005,25070798
Afghanistan,2006,25893450
Afghanistan,2007,26616792
Afghanistan,2008,27294031
Afghanistan,2009,28004331
Afghanistan,2010,28803167
Afghanistan,2011,29708599
Afghanistan,2012,30696958
Afghanistan,2013,31731688
Afghanistan,2014,32758020
Afghanistan,2015,33736494
Afghanistan,2016,34656032
Afghanistan,2017,35530000
Algeria,2002,31995046
Algeria,2003,32403514
Algeria,2004,32831096
Algeria,2005,33288437
Algeria,2006,33777915
Algeria,2007,34300076
Algeria,2008,34860715
Algeria,2009,35465760
Algeria,2010,36117637
Algeria,2011,36819558
Algeria,2012,37565847
Algeria,2013,38338562
Algeria,2014,39113313
Algeria,2015,39871528
Algeria,2016,40606052
Algeria,2017,41318000
Angola,2002,17572649
Angola,2003,18203369
Angola,2004,18865716
Angola,2005,19552542
Angola,2006,20262399
Angola,2007,20997687
Angola,2008,21759420
Angola,2009,22549547
Angola,2010,23369131
Angola,2011,24218565
Angola,2012,25096150
Angola,2013,25998340
Angola,2014,26920466
Angola,2015,27859305
Angola,2016,28813463
Angola,2017,29784000
Azerbaijan,2002,8171950
Azerbaijan,2003,8234100
Azerbaijan,2004,8306500
Azerbaijan,2005,8391850
Azerbaijan,2006,8484550
Azerbaijan,2007,8581300
Azerbaijan,2008,8763400
Azerbaijan,2009,8947243
Azerbaijan,2010,9054332
Azerbaijan,2011,9173082
Azerbaijan,2012,9295784
Azerbaijan,2013,9416801
Azerbaijan,2014,9535079
Azerbaijan,2015,9649341
Azerbaijan,2016,9762274
Azerbaijan,2017,9868000
Bangladesh,2002,136600667
Bangladesh,2003,139019001
Bangladesh,2004,141307489
Bangladesh,2005,143431101
Bangladesh,2006,145368004
Bangladesh,2007,147139191
Bangladesh,2008,148805814
Bangladesh,2009,150454708
Bangladesh,2010,152149102
Bangladesh,2011,153911916
Bangladesh,2012,155727053
Bangladesh,2013,157571292
Bangladesh,2014,159405279
Bangladesh,2015,161200886
Bangladesh,2016,162951560
Bangladesh,2017,164670000
Bosnia and Herzegovina,2002,3775807
Bosnia and Herzegovina,2003,3779247
Bosnia and Herzegovina,2004,3781287
Bosnia and Herzegovina,2005,3781530
Bosnia and Herzegovina,2006,3779468
Bosnia and Herzegovina,2007,3774000
Bosnia and Herzegovina,2008,3763599
Bosnia and Herzegovina,2009,3746561
Bosnia and Herzegovina,2010,3722084
Bosnia and Herzegovina,2011,3688865
Bosnia and Herzegovina,2012,3648200
Bosnia and Herzegovina,2013,3604999
Bosnia and Herzegovina,2014,3566002
Bosnia and Herzegovina,2015,3535961
Bosnia and Herzegovina,2016,3516816
Bosnia and Herzegovina,2017,3507000
Bulgaria,2002,7837161
Bulgaria,2003,7775327
Bulgaria,2004,7716860
Bulgaria,2005,7658972
Bulgaria,2006,7601022
Bulgaria,2007,7545338
Bulgaria,2008,7492561
Bulgaria,2009,7444443
Bulgaria,2010,7395599
Bulgaria,2011,7348328
Bulgaria,2012,7305888
Bulgaria,2013,7265115
Bulgaria,2014,7223938
Bulgaria,2015,7177991
Bulgaria,2016,7127822
Bulgaria,2017,7075000
Costa Rica,2002,4063204
Costa Rica,2003,4125971
Costa Rica,2004,4187038
Costa Rica,2005,4247841
Costa Rica,2006,4308794
Costa Rica,2007,4369469
Costa Rica,2008,4429508
Costa Rica,2009,4488263
Costa Rica,2010,4545280
Costa Rica,2011,4600474
Costa Rica,2012,4654122
Costa Rica,2013,4706401
Costa Rica,2014,4757575
Costa Rica,2015,4807852
Costa Rica,2016,4857274
Costa Rica,2017,4906000
Djibouti,2002,746221
Djibouti,2003,758615
Djibouti,2004,770752
Djibouti,2005,783254
Djibouti,2006,796208
Djibouti,2007,809402
Djibouti,2008,822934
Djibouti,2009,836840
Djibouti,2010,851146
Djibouti,2011,865937
