,drought,drought,drought,drought,Graph,Funding Gap
0.5,405712.058770947,,,,405712.058770947,-405712.058770947
0.498,407153.72695847,,,,407153.72695847,-407153.72695847
0.496,408981.700647626,,,,408981.700647626,-408981.700647626
0.494,411234.24890562,,,,411234.24890562,-411234.24890562
0.492,413386.5904065,,,,413386.5904065,-413386.5904065
0.49,415508.161971174,,,,415508.161971174,-415508.161971174
0.488,417564.512932264,,,,417564.512932264,-417564.512932264
0.486,420070.850160332,,,,420070.850160332,-420070.850160332
0.484,422604.39930701,,,,422604.39930701,-422604.39930701
0.482,425459.572338167,,,,425459.572338167,-425459.572338167
0.48,427815.281798876,,,,427815.281798876,-427815.281798876
0.478,430098.82315911,,,,430098.82315911,-430098.82315911
0.476,432767.54339352,,,,432767.54339352,-432767.54339352
0.474,435257.167104865,,,,435257.167104865,-435257.167104865
0.472,437644.546869871,,,,437644.546869871,-437644.546869871
0.47,439717.359258156,,,,439717.359258156,-439717.359258156
0.468,442483.923544883,,,,442483.923544883,-442483.923544883
0.466,444845.646031544,,,,444845.646031544,-444845.646031544
0.464,446514.019919295,,,,446514.019919295,-446514.019919295
0.462,448442.494823642,,,,448442.494823642,-448442.494823642
0.46,450806.242539858,,,,450806.242539858,-450806.242539858
0.458,453550.56423868,,,,453550.56423868,-453550.56423868
0.456,456117.015106276,,,,456117.015106276,-456117.015106276
0.454,459028.105770587,,,,459028.105770587,-459028.105770587
0.452,461967.868103974,,,,461967.868103974,-461967.868103974
0.45,464774.929704514,,,,464774.929704514,-464774.929704514
0.448,466640.772744358,,,,466640.772744358,-466640.772744358
0.446,468807.812176528,,,,468807.812176528,-468807.812176528
0.444,470920.643035835,,,,470920.643035835,-470920.643035835
0.442,473125.218498342,,,,473125.218498342,-473125.218498342
0.44,475292.28058451,,,,475292.28058451,-475292.28058451
0.438,477558.676172399,,,,477558.676172399,-477558.676172399
0.436,480308.050640208,,,,480308.050640208,-480308.050640208
0.434,482610.063116691,,,,482610.063116691,-482610.063116691
0.432,484796.991688351,,,,484796.991688351,-484796.991688351
0.43,486818.431391137,,,,486818.431391137,-486818.431391137
0.428,489388.901477713,,,,489388.901477713,-489388.901477713
0.426,491177.244772536,,,,491177.244772536,-491177.244772536
0.424,493335.506043705,,,,493335.506043705,-493335.506043705
0.422,495721.923124471,,,,495721.923124471,-495721.923124471
0.42,497728.286317071,,,,497728.286317071,-497728.286317071
0.418,500161.744565869,,,,500161.744565869,-500161.744565869
0.416,502731.703209779,,,,502731.703209779,-502731.703209779
0.414,504787.834641325,,,,504787.834641325,-504787.834641325
0.412,506824.100483834,,,,506824.100483834,-506824.100483834
0.41,509015.502192307,,,,509015.502192307,-509015.502192307
0.408,511131.436867716,,,,511131.436867716,-511131.436867716
0.406,513856.830880822,,,,513856.830880822,-513856.830880822
0.404,516622.257134311,,,,516622.257134311,-516622.257134311
0.402,518781.33100721,,,,518781.33100721,-518781.33100721
0.4,520740.325359757,,,,520740.325359757,-520740.325359757
0.398,523162.868433207,,,,523162.868433207,-523162.868433207
0.396,525839.164328019,,,,525839.164328019,-525839.164328019
0.394,528505.995955571,,,,528505.995955571,-528505.995955571
0.392,530417.995714322,,,,530417.995714322,-530417.995714322
0.39,533438.953115977,,,,533438.953115977,-533438.953115977
0.388,535501.729991325,,,,535501.729991325,-535501.729991325
0.386,537226.224486005,,,,537226.224486005,-537226.224486005
0.384,539747.272875283,,,,539747.272875283,-539747.272875283
0.382,541947.319910864,,,,541947.319910864,-541947.319910864
0.38,545133.584414092,,,,545133.584414092,-545133.584414092
0.378,547551.949398996,,,,547551.949398996,-547551.949398996
0.376,550736.338847082,,,,550736.338847082,-550736.338847082
0.374,553452.086805562,,,,553452.086805562,-553452.086805562
0.372,556127.301478189,,,,556127.301478189,-556127.301478189
0.37,558914.670401788,,,,558914.670401788,-558914.670401788
0.368,561329.702439929,,,,561329.702439929,-561329.702439929
0.366,563385.357893344,,,,563385.357893344,-563385.357893344
0.364,567076.279451531,,,,567076.279451531,-567076.279451531
0.362,570269.96645959,,,,570269.96645959,-570269.96645959
0.36,573438.683621469,,,,573438.683621469,-573438.683621469
0.358,575304.545078108,,,,575304.545078108,-575304.545078108
0.356,577963.10931089,,,,577963.10931089,-577963.10931089
0.354,580838.100290422,,,,580838.100290422,-580838.100290422
0.352,583355.681782289,,,,583355.681782289,-583355.681782289
0.35,586406.105080402,,,,586406.105080402,-586406.105080402
0.348,590598.48534139,,,,590598.48534139,-590598.48534139
0.346,592688.177150987,,,,592688.177150987,-592688.177150987
0.344,595844.806117574,,,,595844.806117574,-595844.806117574
0.342,598235.643459805,,,,598235.643459805,-598235.643459805
0.34,601664.069678223,,,,601664.069678223,-601664.069678223
0.338,604679.786732644,,,,604679.786732644,-604679.786732644
0.336,607283.486220672,,,,607283.486220672,-607283.486220672
0.334,610215.435164189,,,,610215.435164189,-610215.435164189
0.332,612967.183489304,,,,612967.183489304,-612967.183489304
0.33,616432.044907931,,,,616432.044907931,-616432.044907931
0.328,619233.821197413,,,,619233.821197413,-619233.821197413
0.326,622519.452692238,,,,622519.452692238,-622519.452692238
0.324,626598.57773917,,,,626598.57773917,-626598.57773917
0.322,629186.806663985,,,,629186.806663985,-629186.806663985
0.32,631215.743394275,,,,631215.743394275,-631215.743394275
0.318,633722.216905257,,,,633722.216905257,-633722.216905257
0.316,636739.305347536,,,,636739.305347536,-636739.305347536
0.314,639762.183612747,,,,639762.183612747,-639762.183612747
0.312,642759.601893372,,,,642759.601893372,-642759.601893372
0.31,645958.313160472,,,,645958.313160472,-645958.313160472
