Country,Year,Peril Type,Total Affected
Senegal,1992,drought,1747426
Senegal,1993,drought,102723
Senegal,1994,drought,0
Senegal,1995,drought,255716
Senegal,1996,drought,799973
Senegal,1997,drought,245337
Senegal,1998,drought,265840
Senegal,1999,drought,0
Senegal,2000,drought,0
Senegal,2001,drought,274207
Senegal,2002,drought,630288
Senegal,2003,drought,0
Senegal,2004,drought,74460
Senegal,2005,drought,0
Senegal,2006,drought,463504.561612576
Senegal,2007,drought,562618.22540568
Senegal,2008,drought,0
Senegal,2009,drought,0
Senegal,2010,drought,0
Senegal,2011,drought,165296.170131846
Senegal,2012,drought,0
Senegal,2013,drought,90838.4604462475
Senegal,2014,drought,1197034.90238337
Senegal,2015,drought,0
Senegal,2016,drought,0
Senegal,2017,drought,941949.164300203
Senegal,2018,drought,540626.385395538
