,drought,drought,drought,drought,Graph,Funding Gap
0.5,650841810.529359,,,,650841810.529359,-650841810.529359
0.498,653231256.210466,,,,653231256.210466,-653231256.210466
0.496,656261639.830498,,,,656261639.830498,-656261639.830498
0.494,659996901.805583,,,,659996901.805583,-659996901.805583
0.492,663567052.885386,,,,663567052.885386,-663567052.885386
0.49,667087172.333142,,,,667087172.333142,-667087172.333142
0.488,670500029.442162,,,,670500029.442162,-670500029.442162
0.486,674660978.374584,,,,674660978.374584,-674660978.374584
0.484,678868512.679212,,,,678868512.679212,-678868512.679212
0.482,683611866.474615,,,,683611866.474615,-683611866.474615
0.48,687526797.911619,,,,687526797.911619,-687526797.911619
0.478,691322952.730774,,,,691322952.730774,-691322952.730774
0.476,695760869.44705,,,,695760869.44705,-695760869.44705
0.474,699902356.611193,,,,699902356.611193,-699902356.611193
0.472,703875023.781253,,,,703875023.781253,-703875023.781253
0.47,707325242.581281,,,,707325242.581281,-707325242.581281
0.468,711931663.779255,,,,711931663.779255,-711931663.779255
0.466,715865313.58828,,,,715865313.58828,-715865313.58828
0.464,718644854.450277,,,,718644854.450277,-718644854.450277
0.462,721858471.690835,,,,721858471.690835,-721858471.690835
0.46,725798513.8226,,,,725798513.8226,-725798513.8226
0.458,730374416.006653,,,,730374416.006653,-730374416.006653
0.456,734655184.705351,,,,734655184.705351,-734655184.705351
0.454,739512494.840213,,,,739512494.840213,-739512494.840213
0.452,744419464.482585,,,,744419464.482585,-744419464.482585
0.45,749106634.601491,,,,749106634.601491,-749106634.601491
0.448,752223095.758265,,,,752223095.758265,-752223095.758265
0.446,755843552.988334,,,,755843552.988334,-755843552.988334
0.444,759374391.205752,,,,759374391.205752,-759374391.205752
0.442,763059542.139043,,,,763059542.139043,-763059542.139043
0.44,766682973.313458,,,,766682973.313458,-766682973.313458
0.438,770473540.122253,,,,770473540.122253,-770473540.122253
0.436,775073324.385469,,,,775073324.385469,-775073324.385469
0.434,778925862.013277,,,,778925862.013277,-778925862.013277
0.432,782586814.08716,,,,782586814.08716,-782586814.08716
0.43,785971611.94886,,,,785971611.94886,-785971611.94886
0.428,790276946.29228,,,,790276946.29228,-790276946.29228
0.426,793273079.58944,,,,793273079.58944,-793273079.58944
0.424,796889833.373552,,,,796889833.373552,-796889833.373552
0.422,800890031.846383,,,,800890031.846383,-800890031.846383
0.42,804254068.414453,,,,804254068.414453,-804254068.414453
0.418,808335306.814185,,,,808335306.814185,-808335306.814185
0.416,812646779.137203,,,,812646779.137203,-812646779.137203
0.414,816097195.627317,,,,816097195.627317,-816097195.627317
0.412,819515116.938925,,,,819515116.938925,-819515116.938925
