Country,Year,Peril Type,Total Affected
Somalia,2000,drought,46239741
Somalia,2001,drought,54690564
Somalia,2002,drought,69055707
Somalia,2003,drought,74053734
Somalia,2004,drought,109576001
Somalia,2005,drought,146795215
Somalia,2006,drought,260715372
Somalia,2007,drought,331861448
Somalia,2008,drought,621337975
Somalia,2009,drought,479123705
Somalia,2010,drought,316852410
Somalia,2011,drought,1979670217
Somalia,2012,drought,797405310
Somalia,2013,drought,626370682
Somalia,2014,drought,654079424
Somalia,2015,drought,573170446
Somalia,2016,drought,711878806
Somalia,2017,drought,1470482578
Somalia,2018,drought,1030767927
