Country,Year,Peril Type,Total Affected
South Africa,2002,Flood,2500
South Africa,2002,Storm,101216
South Africa,2003,Flood,500
South Africa,2003,Storm,600
South Africa,2004,Drought,15000000
South Africa,2004,Flood,15000
South Africa,2005,Earthquake,58
South Africa,2006,Flood,7160
South Africa,2007,Flood,38000
South Africa,2008,Flood,4000
South Africa,2008,Storm,3576
South Africa,2009,Flood,20300
South Africa,2009,Storm,0
South Africa,2010,Storm,6000
South Africa,2011,Flood,200321
South Africa,2011,Storm,6323
South Africa,2012,Flood,125000
South Africa,2012,Storm,1350
South Africa,2013,Storm,2870
South Africa,2014,Earthquake,2002
South Africa,2014,Flood,7185
South Africa,2015,Drought,2700000
South Africa,2016,Flood,7500
South Africa,2017,Flood,200
South Africa,2017,Storm,10000
