Country,Year,Peril Type,Total Damage
South Africa,2002,Flood,0
South Africa,2002,Storm,14041000
South Africa,2003,Flood,0
South Africa,2003,Storm,0
South Africa,2004,Drought,0
South Africa,2004,Flood,0
South Africa,2005,Earthquake,20000000
South Africa,2006,Flood,216000000
South Africa,2007,Flood,0
South Africa,2008,Flood,1264000
South Africa,2008,Storm,0
South Africa,2009,Flood,0
South Africa,2009,Storm,15000000
South Africa,2010,Storm,0
South Africa,2011,Flood,211000000
South Africa,2011,Storm,10000000
South Africa,2012,Flood,200000000
South Africa,2012,Storm,0
South Africa,2013,Storm,0
South Africa,2014,Earthquake,0
South Africa,2014,Flood,85000000
South Africa,2015,Drought,250000000
South Africa,2016,Flood,280000000
South Africa,2017,Flood,0
South Africa,2017,Storm,0
