Country,Year,Population
South Africa,2002,45855482.88
South Africa,2003,46418193.9
South Africa,2004,47001700.99
South Africa,2005,47606670.24
South Africa,2006,48233804.48
South Africa,2007,48883844.99
South Africa,2008,49557573.3
South Africa,2009,50255813.11
South Africa,2010,50979432.36
South Africa,2011,51729345.36
South Africa,2012,52506515.08
South Africa,2013,53311955.61
South Africa,2014,54146734.74
South Africa,2015,55011976.68
South Africa,2016,55908865
South Africa,2017,56639000
