Country,Year,Peril Type,Total Affected
Sri Lanka,2002,Drought,159967
Sri Lanka,2002,Flood,133440
Sri Lanka,2002,Storm,7368
Sri Lanka,2003,Drought,187424
Sri Lanka,2003,Flood,517703
Sri Lanka,2003,Storm,45589
Sri Lanka,2004,Drought,2692319
Sri Lanka,2004,Earthquake,1076240
Sri Lanka,2004,Flood,243313
Sri Lanka,2004,Storm,4742
Sri Lanka,2005,Drought,31497
Sri Lanka,2005,Flood,289472
Sri Lanka,2005,Storm,18548
Sri Lanka,2006,Drought,51904
Sri Lanka,2006,Flood,348020
Sri Lanka,2006,Storm,57880
Sri Lanka,2007,Drought,107789
Sri Lanka,2007,Earthquake,65
Sri Lanka,2007,Flood,80949
Sri Lanka,2007,Storm,59313
Sri Lanka,2008,Drought,135292
Sri Lanka,2008,Flood,483512
Sri Lanka,2008,Storm,21692
Sri Lanka,2009,Drought,235238
Sri Lanka,2009,Earthquake,5
Sri Lanka,2009,Flood,452237
Sri Lanka,2009,Storm,36081
Sri Lanka,2010,Drought,13395
Sri Lanka,2010,Flood,1158167
Sri Lanka,2010,Storm,13769
Sri Lanka,2011,Drought,68459
Sri Lanka,2011,Flood,2502148
Sri Lanka,2011,Storm,43706
Sri Lanka,2012,Drought,892383
Sri Lanka,2012,Flood,159654
Sri Lanka,2012,Storm,197446
Sri Lanka,2013,Drought,78234
Sri Lanka,2013,Flood,450635
Sri Lanka,2013,Storm,43312
