Country,Year,Peril Type,Total Damage
Sri Lanka,2002,Flood,0
Sri Lanka,2003,Flood,29000000
Sri Lanka,2004,Earthquake,1316500000
Sri Lanka,2004,Flood,0
Sri Lanka,2005,Flood,0
Sri Lanka,2006,Flood,3000000
Sri Lanka,2007,Flood,50000
Sri Lanka,2008,Flood,0
Sri Lanka,2008,Storm,0
Sri Lanka,2009,Flood,0
Sri Lanka,2010,Flood,105000000
Sri Lanka,2011,Flood,500000000
Sri Lanka,2011,Storm,0
Sri Lanka,2012,Drought,0
Sri Lanka,2012,Flood,1200000
Sri Lanka,2012,Storm,57000000
Sri Lanka,2013,Flood,2000000
Sri Lanka,2013,Storm,0
Sri Lanka,2014,Drought,25000000
Sri Lanka,2014,Flood,2000000
Sri Lanka,2015,Flood,0
Sri Lanka,2016,Drought,20000000
Sri Lanka,2016,Flood,1200000000
Sri Lanka,2017,Flood,197000000
